episode,rewards_total
1,-3.815836008015225
2,-4.184890132277452
3,-4.368754744735044
4,-14.104086602117071
5,-16.18455289543804
6,-16.508560229639627
7,-8.544232852714392
8,7.48161430815539
9,-13.153669040964079
10,3.7920970597131642
11,-6.733681709219377
12,-4.782762952496579
13,-6.761239663035063
14,11.806245121770736
15,5.971479519165246
16,4.320144481645489
17,-0.3946096993887309
18,-5.568553655701336
19,-5.170830772163098
20,-8.535479983153547
21,-8.508740548429117
22,-7.7229565123898904
23,-12.328088829869321
24,-10.379187483071288
25,-11.500699201447514
26,-11.543729191788
27,-9.277477337849966
28,-11.624867423853473
29,-7.86864741436823
30,-7.092373179346655
31,-8.76565498333923
32,-6.837274492825063
33,-5.700662559674722
34,-4.367694973598361
35,-2.8908251390438515
36,-3.672643660705848
37,-8.775691986334445
38,-9.565389183231101
39,-5.132101671659342
40,-2.2809246315880856
41,-7.736247295481119
42,-7.344670543838838
43,-8.06061682555335
44,-7.084345613031861
45,-6.921222342228038
46,-6.741644945611117
47,-6.006802293903107
48,-6.002065330343752
49,-6.3040046160543906
50,-10.843332432221285
51,-11.304669916315149
52,-6.07198093931412
53,1.1140250231322177
54,4.447626920846368
55,-4.094443583016091
56,-1.0002465502224673
57,-1.4804395911445667
58,-11.770838964604092
59,-12.52074779511798
60,-12.228040655010169
61,-10.367079713335874
62,-3.508468654492699
63,-6.626229874839932
64,-6.822496806834572
65,-2.362733936504199
66,0.8625091857496336
67,-3.614263096202791
68,-2.052125650322214
69,-20.09869601227442
70,-7.453655395506747
71,-7.623774611347173
72,-12.710635783080145
73,-25.953873340001536
74,-29.54276605256297
75,-36.49109198815246
76,-39.67706042046494
77,-35.17662039295811
78,-33.365729249927504
79,-22.848034693425703
80,-28.77741391311502
81,-34.525156039218665
82,-38.42096496755998
83,-38.102372879642445
84,-34.709789512433616
85,-34.62742705936389
86,-18.740157256158696
87,-36.160996293338776
88,-37.6746982750143
89,-38.21764912583511
90,-10.842810530044739
91,-3.25626125085714
92,-17.571663410604195
93,-32.263843187526234
94,-24.946540056060925
95,-28.513349691850173
96,-22.20691380733074
97,-5.677792282943027
98,-6.892132036129226
99,-0.05178205845341566
100,-16.114770421497266
101,-7.918944910724996
102,-21.21212800758729
103,-20.4186340312421
104,-7.525881035824133
105,-4.6506861817758995
106,0.20377597514944767
107,-8.599366131456414
108,-1.2892312742505823
109,-4.434735966104984
110,-3.498007648609608
111,-4.739054442219135
112,-2.40881337529434
113,-5.33348499093416
114,-5.970546114366094
115,-5.041960920809348
116,1.7299362709641066
117,-1.8845314145338676
118,1.2858428375877153
119,7.99175737691974
120,-0.6745593382983941
121,1.0149760545571738
122,-2.565639233569481
