time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.07783560074e-06,1.36409000392e-07,10.0073990315,0.00012379801989,0.000667743183713,0.0,-8.48728846811e-05,1.25642115512e-05,0.24661306148,0.00590012104176,0.0272152286368,0.0,480.5641603017242,482.62221708948056,480.53676902841164,480.98369463988143
0.12000000000000001,-2.42209872643e-05,4.47526032736e-06,10.0232261241,5.95802568029e-05,0.00212679553358,0.0,-0.000829913731461,0.000151031202113,0.280948370096,-0.0210762996565,0.017781297857,0.0,416.14879668421287,415.3224607110042,416.679239274062,414.3146336400098
0.18,-0.00012549206139,9.6722571265e-06,10.0446105064,6.28199005166,0.00292475998388,0.0,-0.00264999822814,-0.00011578119659,0.431818502486,-0.0205911807918,0.00235195302217,0.0,452.9944071501063,451.75208238738935,453.3224010965234,453.3613928138656
0.23999999999999996,-0.00033596800127,-2.13518909104e-05,10.0701999868,6.28132835451,0.00340250329066,0.0,-0.00439397195689,-0.000995499724311,0.421168072405,0.00332896496167,0.0173171534078,0.0,400.33457364505546,401.69366279115087,398.81099206278463,400.98957638784907
0.3,-0.000702190513054,-0.000133021160169,10.1062828795,6.28128126666,0.00461862287731,0.0,-0.00797208993881,-0.00271347373221,0.781419134713,-0.0106389191014,0.0255995946716,0.0,512.6171979409389,513.2052403767199,513.8103616786493,512.819326224331
0.36000000000000004,-0.00127861571433,-0.000335743539628,10.1554451831,6.28010842121,0.00648878784022,0.0,-0.0114112643352,-0.00411972569536,0.85726902695,-0.0508062066495,0.040465599332,0.0,428.36842802109004,429.6309116296198,432.31562052754606,428.91801269214125
0.4200000000000001,-0.00212231554779,-0.000666102446028,10.2120382088,6.27684464054,0.00944365185171,0.0,-0.0170188541656,-0.00724582670741,1.02902229485,-0.0627653137979,0.0626907644209,0.0,459.667643645028,461.4266493247692,459.6721110579747,458.72163607096167
0.48000000000000015,-0.00336207889189,-0.00125249642147,10.2776548996,6.2728368515,0.0134551977683,0.0,-0.0247196567521,-0.012711267106,1.15807085999,-0.07640442106,0.0741060525445,0.0,446.23611671344514,447.170155292838,448.08414899238517,446.97074180941746
0.5400000000000001,-0.00513840689524,-0.00224498412452,10.3500155301,6.26838838133,0.0176938200705,0.0,-0.0349312062556,-0.0208279357535,1.25383740548,-0.0699628961114,0.0626245717539,0.0,437.6593353364212,436.70665717470143,436.4454959058684,436.9783146768276
0.6000000000000002,-0.00752156401122,-0.00373798702861,10.4232057581,6.26402679556,0.0214467332343,0.0,-0.0447984824702,-0.0292695423602,1.18589916297,-0.078801105516,0.0623961520103,0.0,381.70804062704406,381.6897757730453,381.96360091471445,381.11477664837383
0.6600000000000003,-0.010750626131,-0.00598380230287,10.5011379203,6.259262407,0.0250968579244,0.0,-0.0632775798206,-0.0461580589031,1.41156561955,-0.0806447929893,0.0575169922135,0.0,476.9989685619528,476.6286159276302,476.473815140239,476.3282635834205
0.7200000000000003,-0.0150154746026,-0.00920410737026,10.5863370416,6.25451309379,0.0279949292527,0.0,-0.079182334075,-0.0616145522937,1.42836412435,-0.0763327976879,0.0143495741974,0.0,414.10982805120443,410.2967735095581,411.25485899100653,411.63100538189957
0.7800000000000004,-0.0202221675207,-0.0133784020781,10.6705491433,6.2495196995,0.0290559392891,0.0,-0.0944534163723,-0.0779079983472,1.37875253531,-0.102853335115,0.0236327667014,0.0,389.25383398689786,390.12150692699396,389.232936165985,386.7360164623795
0.8400000000000004,-0.0265660860342,-0.0188546791798,10.7586382653,6.24305630213,0.0311518760205,0.0,-0.117211095897,-0.105341541893,1.55729102726,-0.119864920414,0.051196393461,0.0,461.54113332395667,463.7116835054087,464.57105968739336,463.2255305281398
0.9000000000000005,-0.0342779823989,-0.0260613628975,10.8558007946,6.2365457769,0.0341211329868,0.0,-0.140166180814,-0.135589991072,1.68124126178,-0.0921937131102,0.0458314503668,0.0,447.1603716406095,446.72466257131134,446.22010059805785,448.46235851911143
0.9600000000000005,-0.0433994854078,-0.0351740391285,10.9595047729,6.2311434723,0.0374030202365,0.0,-0.164188936309,-0.168711357322,1.77537382473,-0.086045708365,0.068240878187,0.0,438.54089689316174,440.40017439398224,436.7362483935183,437.24174418431
1.0200000000000005,-0.0540373816349,-0.0463855627302,11.0689302168,6.22728873549,0.0415506451863,0.0,-0.190820977738,-0.205436418387,1.87194150244,-0.0390596352929,0.0708421911126,0.0,438.64458362022185,438.8642268221389,438.12400843615325,442.0090264543467
1.0800000000000005,-0.0663493256324,-0.0598578033831,11.1839081545,6.22516272205,0.0457832000166,0.0,-0.219997439124,-0.243853038744,1.96047010424,-0.0290224611693,0.0699368537009,0.0,437.22993967045727,437.1584082657098,436.9482760633224,437.78359443206966
1.1400000000000006,-0.0806054016147,-0.0758101544244,11.3064922409,6.22380468136,0.0495602338263,0.0,-0.255644446536,-0.288045154556,2.12533276987,-0.0122130288032,0.0428899284543,0.0,462.58691260554417,460.45483958304663,460.5859758726118,461.9133523735476
1.2000000000000006,-0.0971791028907,-0.0945593960953,11.4409457896,6.22299246408,0.0524353411896,0.0,-0.297123584781,-0.33699704069,2.35597067841,-0.0163256933926,0.0564420746066,0.0,481.3674384551025,482.3930091811121,481.3661488203196,481.0549734471146
1.2600000000000007,-0.115913386128,-0.115809390721,11.5816668219,6.22237458563,0.0555500016554,0.0,-0.327631515117,-0.371405440518,2.33474611132,-0.000365414774835,0.0408186268238,0.0,404.7879720082739,403.3815869490289,401.28200464386885,402.72827363314855
